"year","BB","HBP","SO","X1B","X2B","X3B","HR","Outs","total_pas","ba","obp","slg","ops","woba","batter_id"
2019,0,0,11,3,0,0,0,21,24,0.125,0.125,0.125,0.25,0.109,659275
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,642098
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,596001
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,542963
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,543351
2019,1,1,2,2,0,0,0,6,10,0.25,0.4,0.25,0.65,0.315,624641
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,670456
2019,2,0,6,1,1,0,0,12,16,0.143,0.25,0.214,0.464,0.217,608339
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,670970
2019,0,0,1,0,0,0,0,4,4,0,0,0,0,0,605156
2019,1,0,0,0,0,0,0,0,1,0,1,0,0,0.69,592741
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,650813
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,642545
2019,0,0,2,1,0,0,0,3,4,0.25,0.25,0.25,0.5,0.218,518633
2019,0,0,2,0,0,0,0,2,2,0,0,0,0,0,605164
2019,0,0,3,0,0,0,0,6,6,0,0,0,0,0,630111
2019,0,0,3,0,0,0,0,3,3,0,0,0,0,0,594840
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,650671
2019,0,0,5,2,0,0,0,10,12,0.167,0.167,0.167,0.334,0.145,622072
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,664045
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,608334
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,606273
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,606162
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,489334
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,642207
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,668683
2019,0,0,0,0,0,0,0,2,2,0,0,0,0,0,663465
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,607219
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,622797
2019,0,0,1,0,0,0,0,1,1,0,0,0,0,0,594311
2019,0,0,0,1,0,0,0,1,2,0.5,0.5,0.5,1,0.435,519293
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,641627
2019,0,0,0,0,1,0,0,1,2,0.5,0.5,1,1.5,0.609,657571
2019,0,0,1,0,0,0,0,2,2,0,0,0,0,0,453172
2019,0,0,0,0,0,0,0,1,1,0,0,0,0,0,669270
