batter,player_name,stand,p_throws,events,avg_launch_speed,avg_launch_angle,xba,woba,xwoba,iso,brl_pct
500743,"Rojas, Miguel",R,R,112,87.96847826086956,8.684782608695652,0.31814130434782606,0.2669642857142857,0.32482608695652176,0.05357142857142857,0.03260869565217391
500871,"Escobar, Eduardo",L,R,54,83.8925,10,0.28295,0.21574074074074073,0.298925,0.07407407407407407,0.05
500871,"Escobar, Eduardo",R,L,65,88.65957446808511,14.297872340425531,0.335531914893617,0.38076923076923075,0.3609148936170213,0.2153846153846154,0.06382978723404255
500871,"Escobar, Eduardo",R,R,1,99.3,15,0.769,1.25,0.746,1,0
501303,"Adrianza, Ehire",L,R,9,83.42,6.4,0.2202,0.07777777777777778,0.2046,0,0
501303,"Adrianza, Ehire",R,L,2,87.2,35,0.017,0,0.019,0,0
502054,"Pham, Tommy",R,L,80,93.96923076923076,8.884615384615385,0.39871153846153845,0.345625,0.4893461538461538,0.2,0.17307692307692307
502054,"Pham, Tommy",R,R,90,94,4.466666666666667,0.39058333333333334,0.355,0.4751,0.18888888888888888,0.11666666666666667
502110,"Martinez, J.D.",R,L,71,91.56521739130434,17.804347826086957,0.3183695652173913,0.3190140845070423,0.38080434782608696,0.18309859154929578,0.06521739130434782
502110,"Martinez, J.D.",R,R,179,93.67747747747748,19.18018018018018,0.4536126126126126,0.38212290502793295,0.6086306306306306,0.3240223463687151,0.22522522522522523
502671,"Goldschmidt, Paul",R,L,75,93.08928571428571,14.035714285714286,0.3579107142857143,0.33666666666666667,0.4159285714285714,0.10666666666666667,0.125
502671,"Goldschmidt, Paul",R,R,253,93.19375,16.09375,0.38346875,0.39387351778656127,0.480375,0.2015810276679842,0.14375
506702,"León, Sandy",L,R,36,83.90625,19.125,0.2764375,0.18055555555555555,0.2975625,0.027777777777777776,0.0625
506702,"León, Sandy",R,L,8,77.18,16.6,0.3518,0.15625,0.3418,0.125,0
506702,"León, Sandy",R,R,1,90.3,-8,0.163,0,0.147,0,0
514888,"Altuve, Jose",R,L,26,85.30526315789473,3.789473684210526,0.33878947368421053,0.18461538461538463,0.37442105263157893,0.07692307692307693,0.05263157894736842
514888,"Altuve, Jose",R,R,83,88.7719298245614,11.280701754385966,0.29554385964912283,0.3897590361445783,0.34196491228070175,0.1686746987951807,0.08771929824561403
516416,"Segura, Jean",R,L,51,82.0840909090909,4.7555555555555555,0.26288636363636364,0.22647058823529412,0.25529545454545455,0.0784313725490196,0.022727272727272728
516416,"Segura, Jean",R,R,172,88.09596774193548,2.251968503937008,0.29225,0.23546511627906977,0.3060483870967742,0.029069767441860465,0.03225806451612903
516782,"Marte, Starling",R,L,82,84.465625,8.28125,0.36034375,0.2945121951219512,0.3598125,0.036585365853658534,0.046875
516782,"Marte, Starling",R,R,192,88.44855072463768,4.731884057971015,0.30932608695652175,0.28802083333333334,0.3527246376811594,0.078125,0.057971014492753624
518595,"d'Arnaud, Travis",R,L,30,90.60909090909091,0.5454545454545454,0.30436363636363634,0.3983333333333333,0.29509090909090907,0.03333333333333333,0
518595,"d'Arnaud, Travis",R,R,89,89.66507936507936,9.5,0.36568253968253966,0.3247191011235955,0.4695714285714286,0.21348314606741572,0.14285714285714285
518626,"Donaldson, Josh",R,L,10,93.5875,4.625,0.338375,0.4,0.519875,0.6,0.25
518626,"Donaldson, Josh",R,R,62,90.77837837837838,6.594594594594595,0.325027027027027,0.22580645161290322,0.4625945945945946,0.1935483870967742,0.16216216216216217
518692,"Freeman, Freddie",L,L,102,91.26533333333333,13.546666666666667,0.3664266666666667,0.45637254901960783,0.48805333333333334,0.3333333333333333,0.18666666666666668
518692,"Freeman, Freddie",L,R,238,90.58622754491017,16.964071856287426,0.41334131736526947,0.39285714285714285,0.4728922155688623,0.14705882352941177,0.08383233532934131
518735,"Grandal, Yasmani",L,R,163,88.5704,11.048,0.324616,0.32975460122699385,0.343088,0.11042944785276074,0.048
518735,"Grandal, Yasmani",R,L,60,88.0111111111111,8.416666666666666,0.3199722222222222,0.29833333333333334,0.36519444444444443,0.13333333333333333,0.1111111111111111
518792,"Heyward, Jason",L,L,8,83.75,37.25,0.02025,0.0875,0.021,0,0
518792,"Heyward, Jason",L,R,156,88.05849056603773,18.17924528301887,0.30473076923076925,0.3608974358974359,0.35627884615384614,0.1858974358974359,0.08490566037735849
